example_id,thread_id,customer_message,sampling_bucket,ai_suggested_intent,ai_suggested_escalation,ai_suggested_reason,human_intent,human_escalation,human_reason,human_label_complete
gold-133,453285,New Amazon toy #echoshow https://t.co/hSCLGAhNPT,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-134,2948189,Fuming with @115830 !!! 😠,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-135,551831,where’s my kindle,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-136,562911,@AmazonHelp have provided terrible service,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-137,103103,@115850 Where's  my order 402-8625008-9117137,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-138,558485,WHERE IS MY AMAZON PACKAGE?!,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-139,580676,@82347 @115830 @AmazonHelp?,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-140,2968350,@153820 crab cake,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-141,481685,@115850 My mobile is 9069508900,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-142,2877732,@115850  https://t.co/J96lrycATk,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-143,2850813,.@115830 disgraceful waste. #amazon https://t.co/W7GMQfZ3zA,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-144,2852236,"Thanks, @115821 😑 https://t.co/LtTmcrIV3x",ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-145,527106,@amazonhelp 🙂🙃🙂😒😒😒😒😒 https://t.co/9KYbDBEoyR,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-146,2949365,@115830 seriously? #savetheplanet https://t.co/kD3MiapRvH,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-147,544414,@115850 his no.is +918169450792 https://t.co/JVT5p2WtRt,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-148,2830768,@AmazonHelp  https://t.co/fn3LkIhAg0,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-149,2897628,@115850 @115821 @115851 Thanks delivered,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-150,551956,*looks at calendar* @116090 https://t.co/dDTb09og0K,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-151,2901140,"Dear @AmazonHelp My acct stolen a year ago. I had to close all bank accts &amp; credit cards. I called, no one could help. I want my acct back.",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-152,599062,@115850  worlds most rude to customer company. When you don't get your parcel and complain to them they treat you like a fraud. Hell bad time with dis company. They will say everything rudely to prime members as if they don't care @115851  worst customer service,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-153,2926400,"Glad my dog was home to bark when @3375 delivered my @115821 packages tonight. When boxes are stolen every day, is it really too much trouble to knock or ring a doorbell?",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-154,510418,"@115830 someone has stolen my credit card info on https://t.co/ZPsrfaWHv5, and did shopping. hope u can solve such annoying problem?",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-155,453255,"https://t.co/r9nPYG9JXG have taken unauthorised money out of my bank account! I am not happy so onto bank tomorrow!I am furious as I owe them nothing,I want my money back immediately. 😡",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-156,526191,Dear @115851 your @115850 is such a fraud and cheater.paid fully.Phon not delvrd nd you send mail its dlvrd.I Calld multiple times 4 refund.nothing happnd.Nw they get abusive. Wow.. Bound to lodge police complaint of cheating n fraud. Amazon.in Order # 403-6619160-6184300,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-157,2933611,"@115850 @AmazonHelp @13150 @7092 
Pathetic service.. Cheaters.. Fraud.. Delivered Used Mobile.. Disgusting. Business loss fr me",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-158,2931372,@115821 I have had the worst customer service with my order. my packages were stolen and a rep told me that she would resend by 4. Now you are asking for a police report. Please resolve this issue!,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-159,1472708,"My wife and I own a little gift shop. We sold our product on Amazon, and our account got hacked, so they cut off our account, and are holding our money since June 19th. We made 26 calls without results. Nobody there has any answers. We need help.",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-160,71856,"@115850 I ordered an MI4 Phone and received a different product. 

#406-8163465-8665102

Please refer images. Ensure a return and delivery of correct product in next 48 hours or else expect an FIR, followed by Legal Action. 

Thanks
Mehar Nazeer
9711747938",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-161,500842,@115821 you are stealing from me. I have been charged for a Prime membership which I never authorised sine December last year and I continue to be stolen from. Give me my money back. It has taken almost a year to not resolve it. This is theft #theif #liars,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-162,534182,@115830 My mum has been trying to contact you for weeks regarding hacking. Her account was hacked and a book was ordered to the value of £90! She contacted you and her account was suspended but shes still not received a refund. We have tried calling but no one has helped!,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-163,2935152,My @115821 account was hacked. Contacting cust serv for past 45 days still nothing is fixed.  @117795 is good only if it works 🙄 #Amazonaddiction is too bad.,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-164,2968388,"Hey @115821, this does not count as ""delivered"" when you live downtown -- package was probably stolen minutes after this photo was taken

Best part? I had had another Amazon package successfully delivered earlier sitting right inside the door! https://t.co/Az4Tsstswk",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-165,495841,"@115851 I am tired of tracking my refund..It's been 10 days. Also, Amazon is making UNAUTHORIZED DEDUCTIONS from my account. they did this twice. I am fed up. You are playing with your customer's emotions. AMAZON SUCKS. @AmazonHelp @115821",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-166,2976587,With the holiday season the @115821 delivery guy got lazy. Instead of dropping off the packages at our doors just left 40 items in the middle of mail room where anyone nab them. Come on man. Kids presents going to get stolen #amazon https://t.co/wiSFgzcQPl,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-167,99961,"@AmazonHelp just received what I believe to be a bogus email, do you want these forwarded to a fraud dept so they can get shut down? #fraud https://t.co/WoqyooPc03",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-168,572913,"@115821
So our prime account has had its password changed without permission on numerous occasions. Now it's been hacked and the login email address changed. Our bank account information is in that account. The service rep doesn't appear to want to help.",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-169,487842,@115821 still hasn’t refunded me my money for the unauthorized charges that was made to my account,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-170,2919917,"@115821 y’all drivers really leaving people’s pkgs out overnight instead of delivering to the customer’s door &amp; think that’s ok? Wow, sis — just let my things get stolen",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-171,2922600,@AmazonHelp Don’t you train your drivers not to block a persons front door w/lg heavy boxes. Created very dangerous situation,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-172,494973,@115821 So my account got hacked into. I am not able to login and in spite of changing my password multiple times it keeps saying password is wrong. Now I get a notification that email has been changed as well. Cant talk to anyone customer service says they need to fill a form!,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-173,66175,@115821 well done amazon! I’ve just identified a fraud on my account &amp; your advisor was reassuring &amp; sorted it all out! Great customer service 👍🏻,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-174,448662,"@115851 i pay for prime membership and your delivery driver from preston depot uk dumps my amazon order on the doorstep which is on a main road to be stolen and it's not the 1st time either,not exactly the reputation you want to promote i imagine",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-175,529065,"To the @115821 driver that stole my package: know that I will be sending video proof of you snatching one of my already delivered boxes from my front porch. Also, I hope that the stolen Jesus statue in that box makes you a better Christian person. Merry fucken Xmas!",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-176,2889322,"@115850 Big fraud . 2 packets , not ordered were attempted to be delivered. Vendor from Sonepat, Haryana. Second packet declined but first was accidently accepted. Amazon tags present on both.",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-177,461212,"I am getting very upset and disappointed with @115821 prime delivery lately. First off, they never follow my directions and leave packages at my front door to get stolen. Second, they never arrive by the second day even though it says it’s going to. 

Get your shit together.",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-178,2880478,@115830 since when are you allowed to take money from someone's else's stored card my account for my membership....sounds like fraud to me!,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-179,505929,@115821 WILL NEVER USE AMAZON AGAIN!! This is due to AMZL theft and incompetence!! And will tell everyone I know about this fraud,escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-180,2856609,"@AmazonHelp my friend @220734 had his order of @84429 merch stolen from his porch, please help",escalation_risk,PENDING_APPROVED_TAXONOMY,ESCALATE,Risk keyword requires human review,,,,False
gold-181,461292,"@115821 hey Amazon, nice going...still don’t have my credit on the shipping. The CSR lady was helpful and guys made her not keep her word...shame, shame... 2 hours...right!!!",noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-182,2985494,@116618 Now y'all just took $107.14 out of my account. Why are y'all fukking up my streaming????!!!  Ain't had a problem until a payment was collected . Dont start the bs🙄👀🤔,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-183,547975,Hi @115830 can you please fix your app... faceID doesn’t work https://t.co/hLeSCqBkN6,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-184,600385,"The map shown the courier to be 3 streets away from me, now 2 hours later the site says the delivery is cancelled, not good enough @115830 https://t.co/RMCXIQ31uh",noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-185,2950727,@AmazonHelp Award-winning job you guys did picking the appropriate box size and padding. https://t.co/lJagkHEJwr,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-186,2849078,I love when @115821 lists products with “frustration-free packaging.” 😃 #happymom #momlife #holidayshopping,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-187,460014,@115821 Remind me. Why do I pay for Prime again? https://t.co/d5nZh4tnak,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-188,533219,@115830 @AmazonHelp By the way this is the token of appreciation give by amazon https://t.co/1bbEkdwbGY,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-189,73597,#Amazon # Delivering Sadness# Received Fake Product # worst customer Experience in the world # Amazon #@132458 #@132459 #@132460 #No replacement # Amazon flooding fake product in India # Stop shopping at Amazon#Lets uninstall Amazon from India # https://t.co/XqGdV7rON1,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-190,602340,"I ordered a @115821 basics water filter, it was 2 days late and now it’s leaving black bits in my water!!!! I’m ill, I’d rather not be more ill!!!",noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-191,475082,Hey @AmazonHelp I have a consigment of 2 orders showing as delivered but nowhere to be seen. Currently stuck in a cycle of going to your various carriers' websites and none recognise the tracking number...,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-192,2634121,@AmazonHelp can you help. This always happens if I’m not on WiFi. https://t.co/fX48f8tF74,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-193,502508,"It’s 4pm, ship my game already @AmazonHelp https://t.co/Ng30lwfkso",noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-194,2889347,"@116090 My package was not delivered. I live in Nova Scotia, not Quebec. https://t.co/IhIwAOeEew",noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-195,2927743,@115821 @118706 I was literally sitting in my living room. What problem did you experience...? https://t.co/ctUNaH68rp,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-196,142808,"1st my order of 1+5T gets canceled, then when I try to book it again, I dont get the HDFC CC cash back, being informed by Amazon that offer can be availed only once per card. But where have I availed the benefit. I hv lost my booking again. @119862 @115850 https://t.co/FtRHO4NmNc",noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-197,493322,"Come on, @115821! My @232610 Christmas CD was supposed to be here yesterday! https://t.co/6tIXEAPlFk",noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-198,2917236,@AmazonHelp when the delivery driver leaves all your parcels outside in the rain without leaving a note 🙈 https://t.co/vhE5ajGkda,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-199,493310,@115851 Sir have you any information about what going on amazon in India They provide guaranteed delivery date but they don't deliver it i ask them reason why you don't deliver today but they disconnect my call and they don't have any information. https://t.co/I5PbSGEw4P,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-200,2853721,@115830 REALLY Amazon?! Let me point out the glaringly OBVIOUS: that is NOT behind the bin. Not that I have that as a delivery option anyway AND my partner was home ALL day 🙄 refund expected TODAY as this parcel was NOT in the bin when I looked. https://t.co/36qqZdI9M2,noisy_or_context_missing,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
